Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Kinshasa,CD10,Kinshasa,CD1000,Police,CD1000ZS34,CD100034,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Selembao,CD1000ZS35,CD100035,0,0,0,0,
Kongo-Central,CD20,Matadi,CD2001,Nzanza,CD2001ZS02,CD200102,0,0,0,0,
Kongo-Central,CD20,Boma,CD2002,Boma,CD2002ZS01,CD200201,0,0,0,0,
Kongo-Central,CD20,Moanda,CD2003,Boma Bungu,CD2003ZS01,CD200301,0,0,0,0,
Kongo-Central,CD20,Moanda,CD2003,Kitona,CD2003ZS02,CD200302,0,0,0,0,
Kongo-Central,CD20,Moanda,CD2003,Moanda,CD2003ZS03,CD200303,0,0,0,0,
Kongo-Central,CD20,Lukula,CD2005,Kangu,CD2005ZS01,CD200501,0,0,0,0,
Kongo-Central,CD20,Tshela,CD2007,Kinkonzi,CD2007ZS01,CD200701,0,0,0,0,
Kongo-Central,CD20,Tshela,CD2007,Kizu,CD2007ZS02,CD200702,0,0,0,0,
Kongo-Central,CD20,Tshela,CD2007,Kuimba,CD2007ZS03,CD200703,0,0,0,0,
Kongo-Central,CD20,Tshela,CD2007,Tshela,CD2007ZS04,CD200704,0,0,0,0,
Kongo-Central,CD20,Seke-Banza,CD2009,Inga,CD2009ZS01,CD200901,0,0,0,0,
Kongo-Central,CD20,Seke-Banza,CD2009,Seke-Banza,CD2009ZS02,CD200902,0,0,0,0,
Kongo-Central,CD20,Luozi,CD2010,Kibunzi,CD2010ZS01,CD201001,0,0,0,0,
Kongo-Central,CD20,Luozi,CD2010,Luozi,CD2010ZS02,CD201002,0,0,0,0,
Kongo-Central,CD20,Mbanza-Ngungu,CD2013,Boko-Kivulu,CD2013ZS01,CD201301,0,0,0,0,
Kongo-Central,CD20,Mbanza-Ngungu,CD2013,Gombe-Matadi,CD2013ZS02,CD201302,0,0,0,0,
Kongo-Central,CD20,Mbanza-Ngungu,CD2013,Kwilu-Ngongo,CD2013ZS04,CD201304,0,0,0,0,
Kongo-Central,CD20,Mbanza-Ngungu,CD2013,Mbanza-Ngungu,CD2013ZS05,CD201305,0,0,0,0,
Kongo-Central,CD20,Kasangulu,CD2015,Masa,CD2015ZS01,CD201501,0,0,0,0,
Kongo-Central,CD20,Kasangulu,CD2015,Sona-Bata,CD2015ZS02,CD201502,0,0,0,0,
Kongo-Central,CD20,Madimba,CD2017,Kisantu,CD2017ZS01,CD201701,0,0,0,0,
Kongo-Central,CD20,Madimba,CD2017,Ngidinga,CD2017ZS02,CD201702,0,0,0,0,
Kongo-Central,CD20,Madimba,CD2017,Nselo,CD2017ZS03,CD201703,0,0,0,0,
Kongo-Central,CD20,Kimvula,CD2019,Kimvula,CD2019ZS01,CD201901,0,0,0,0,
Kwango,CD31,Kenge,CD3102,Boko,CD3102ZS01,CD310201,0,0,0,0,
Kwango,CD31,Kenge,CD3102,Kenge,CD3102ZS02,CD310202,0,0,0,0,
Kwango,CD31,Feshi,CD3103,Mwela Lembwa,CD3103ZS03,CD310303,0,0,0,0,
Kwango,CD31,Kasongo-Lunda,CD3106,Kasongo Lunda,CD3106ZS01,CD310601,0,0,0,0,
Kwango,CD31,Kasongo-Lunda,CD3106,Kitenda,CD3106ZS02,CD310602,0,0,0,0,
Kwango,CD31,Kasongo-Lunda,CD3106,Panzi,CD3106ZS03,CD310603,0,0,0,0,
Kwango,CD31,Kasongo-Lunda,CD3106,Tembo,CD3106ZS04,CD310604,0,0,0,0,
Kwango,CD31,Popokabaka,CD3108,Popokabaka,CD3108ZS01,CD310801,0,0,0,0,
Kwilu,CD32,Bandundu,CD3201,Bandundu,CD3201ZS01,CD320101,0,0,0,0,
Kwilu,CD32,Bagata,CD3202,Bagata,CD3202ZS01,CD320201,0,0,0,0,
Kwilu,CD32,Bagata,CD3202,Kikongo,CD3202ZS02,CD320202,0,0,0,0,
Kwilu,CD32,Kikwit,CD3203,Kikwit-Nord,CD3203ZS01,CD320301,0,0,0,0,
Kwilu,CD32,Idiofa,CD3206,Ipamu,CD3206ZS02,CD320602,0,0,0,0,
Kwilu,CD32,Idiofa,CD3206,Koshibanda,CD3206ZS04,CD320604,0,0,0,0,
Kwilu,CD32,Idiofa,CD3206,Mokala,CD3206ZS05,CD320605,0,0,0,0,
Kwilu,CD32,Masi-Manimba,CD3212,Yasa-Bonga,CD3212ZS04,CD321204,0,0,0,0,
Maï-Ndombe,CD33,Inongo,CD3302,Banjow Moke,CD3302ZS01,CD330201,0,0,0,0,
Maï-Ndombe,CD33,Inongo,CD3302,Inongo,CD3302ZS02,CD330202,0,0,0,0,
Maï-Ndombe,CD33,Inongo,CD3302,Ntandembelo,CD3302ZS03,CD330203,0,0,0,0,
Maï-Ndombe,CD33,Kiri,CD3303,Kiri,CD3303ZS01,CD330301,0,0,0,0,
Maï-Ndombe,CD33,Kiri,CD3303,Penjwa,CD3303ZS02,CD330302,0,0,0,0,
Maï-Ndombe,CD33,Oshwe,CD3304,Bosobe,CD3304ZS01,CD330401,0,0,0,0,
Maï-Ndombe,CD33,Oshwe,CD3304,Mimia,CD3304ZS02,CD330402,0,0,0,0,
Maï-Ndombe,CD33,Oshwe,CD3304,Oshwe,CD3304ZS03,CD330403,0,0,0,0,
Maï-Ndombe,CD33,Kutu,CD3306,Bokoro,CD3306ZS01,CD330601,0,0,0,0,
Maï-Ndombe,CD33,Kutu,CD3306,Nioki,CD3306ZS02,CD330602,0,0,0,0,
Maï-Ndombe,CD33,Kwamouth,CD3307,Kwamouth,CD3307ZS01,CD330701,0,0,0,0,
Maï-Ndombe,CD33,Yumbi,CD3310,Yumbi,CD3310ZS01,CD331001,0,0,0,0,
Equateur,CD41,Mbandaka,CD4101,Bolenge,CD4101ZS01,CD410101,0,0,0,0,
Equateur,CD41,Mbandaka,CD4101,Mbandaka,CD4101ZS02,CD410102,0,0,0,0,
Equateur,CD41,Mbandaka,CD4101,Wangata,CD4101ZS03,CD410103,0,0,0,0,
Equateur,CD41,Bikoro,CD4102,Bikoro,CD4102ZS01,CD410201,0,0,0,0,
Equateur,CD41,Bikoro,CD4102,Ntondo,CD4102ZS03,CD410203,0,0,0,0,
Equateur,CD41,Lukolela,CD4103,Irebu,CD4103ZS01,CD410301,0,0,0,0,
Equateur,CD41,Lukolela,CD4103,Lukolela,CD4103ZS02,CD410302,0,0,0,0,
Equateur,CD41,Bomongo,CD4104,Bomongo,CD4104ZS01,CD410401,0,0,0,0,
Equateur,CD41,Bomongo,CD4104,Lilanga Bobangi,CD4104ZS02,CD410402,0,0,0,0,
Equateur,CD41,Makanza,CD4105,Makanza,CD4105ZS01,CD410501,0,0,0,0,
Equateur,CD41,Basankusu,CD4107,Djombo,CD4107ZS02,CD410702,0,0,0,0,
Equateur,CD41,Bolomba,CD4108,Lolanga Mampoko,CD4108ZS02,CD410802,0,0,0,0,
Equateur,CD41,Bolomba,CD4108,Monieka,CD4108ZS03,CD410803,0,0,0,0,
Equateur,CD41,Ingende,CD4109,Ingende,CD4109ZS01,CD410901,0,0,0,0,
Equateur,CD41,Ingende,CD4109,Lotumbe,CD4109ZS02,CD410902,0,0,0,0,
Sud-Ubangi,CD42,Gemena,CD4202,Bominenge,CD4202ZS02,CD420202,0,0,0,0,
Sud-Ubangi,CD42,Gemena,CD4202,Gemena,CD4202ZS04,CD420204,0,0,0,0,
Sud-Ubangi,CD42,Gemena,CD4202,Tandala,CD4202ZS05,CD420205,0,0,0,0,
Sud-Ubangi,CD42,Budjala,CD4203,Bangabola,CD4203ZS01,CD420301,0,0,0,0,
Sud-Ubangi,CD42,Budjala,CD4203,Budjala,CD4203ZS02,CD420302,0,0,0,0,
Sud-Ubangi,CD42,Budjala,CD4203,Bulu,CD4203ZS03,CD420303,0,0,0,0,
Sud-Ubangi,CD42,Budjala,CD4203,Mbaya,CD4203ZS04,CD420304,0,0,0,0,
Sud-Ubangi,CD42,Budjala,CD4203,Ndage,CD4203ZS05,CD420305,0,0,0,0,
Sud-Ubangi,CD42,Kungu,CD4204,Bokonzi,CD4204ZS01,CD420401,0,0,0,0,
Sud-Ubangi,CD42,Kungu,CD4204,Boto,CD4204ZS02,CD420402,0,0,0,0,
Sud-Ubangi,CD42,Kungu,CD4204,Kungu,CD4204ZS03,CD420403,0,0,0,0,
Sud-Ubangi,CD42,Libenge,CD4205,Libenge,CD4205ZS01,CD420501,0,0,0,0,
Sud-Ubangi,CD42,Zongo,CD4206,Zongo,CD4206ZS01,CD420601,0,0,0,0,
Nord-Ubangi,CD43,Gbadolite,CD4301,Gbadolite,CD4301ZS01,CD430101,0,0,0,0,
Nord-Ubangi,CD43,Mobayi-Mbongo,CD4302,Mobayi Mbongo,CD4302ZS01,CD430201,0,0,0,0,
Nord-Ubangi,CD43,Yakoma,CD4304,Abuzi,CD4304ZS01,CD430401,0,0,0,0,
Nord-Ubangi,CD43,Yakoma,CD4304,Wapinda,CD4304ZS02,CD430402,0,0,0,0,
Nord-Ubangi,CD43,Yakoma,CD4304,Wasolo,CD4304ZS03,CD430403,0,0,0,0,
Nord-Ubangi,CD43,Yakoma,CD4304,Yakoma,CD4304ZS04,CD430404,0,0,0,0,
Nord-Ubangi,CD43,Businga,CD4305,Businga,CD4305ZS01,CD430501,0,0,0,0,
Nord-Ubangi,CD43,Businga,CD4305,Karawa,CD4305ZS02,CD430502,0,0,0,0,
Nord-Ubangi,CD43,Businga,CD4305,Loko,CD4305ZS03,CD430503,0,0,0,0,
Nord-Ubangi,CD43,Bosobolo,CD4306,Bili,CD4306ZS01,CD430601,0,0,0,0,
Nord-Ubangi,CD43,Bosobolo,CD4306,Bosobolo,CD4306ZS02,CD430602,0,0,0,0,
Mongala,CD44,Lisala,CD4402,Binga,CD4402ZS01,CD440201,0,0,0,0,
Mongala,CD44,Lisala,CD4402,Boso Manzi,CD4402ZS02,CD440202,0,0,0,0,
Mongala,CD44,Lisala,CD4402,Lisala,CD4402ZS03,CD440203,0,0,0,0,
Mongala,CD44,Bumba,CD4404,Bumba,CD4404ZS01,CD440401,0,0,0,0,
Mongala,CD44,Bumba,CD4404,Lolo,CD4404ZS02,CD440402,0,0,0,0,
Mongala,CD44,Bumba,CD4404,Yamaluka,CD4404ZS03,CD440403,0,0,0,0,
Mongala,CD44,Bumba,CD4404,Yambuku,CD4404ZS04,CD440404,0,0,0,0,
Mongala,CD44,Bumba,CD4404,Yamongili,CD4404ZS05,CD440405,0,0,0,0,
Mongala,CD44,Bongandanga,CD4405,Bongandanga,CD4405ZS01,CD440501,0,0,0,0,
Mongala,CD44,Bongandanga,CD4405,Boso Mondanda,CD4405ZS02,CD440502,0,0,0,0,
Mongala,CD44,Bongandanga,CD4405,Bosondjo,CD4405ZS03,CD440503,0,0,0,0,
Mongala,CD44,Bongandanga,CD4405,Pimu,CD4405ZS04,CD440504,0,0,0,0,
Tshuapa,CD45,Boende,CD4502,Boende,CD4502ZS01,CD450201,0,0,0,0,
Tshuapa,CD45,Boende,CD4502,Wema,CD4502ZS02,CD450202,0,0,0,0,
Tshuapa,CD45,Befale,CD4503,Befale,CD4503ZS01,CD450301,0,0,0,0,
Tshuapa,CD45,Befale,CD4503,Mompono,CD4503ZS02,CD450302,0,0,0,0,
Tshuapa,CD45,Djolu,CD4504,Djolu,CD4504ZS01,CD450401,0,0,0,0,
Tshuapa,CD45,Djolu,CD4504,Lingomo,CD4504ZS02,CD450402,0,0,0,0,
Tshuapa,CD45,Ikela,CD4505,Ikela,CD4505ZS01,CD450501,0,0,0,0,
Tshuapa,CD45,Ikela,CD4505,Mondombe,CD4505ZS02,CD450502,0,0,0,0,
